"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time by body type [note 2] and fuel type, Great Britain and United Kingdom from January 2010",,,,,,,,,,,,,
Table VEH0171a,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [low] = a low figure but not a real zero.",,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType [note 2],Battery Electric,Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Range extended electric,Hybrid electric (petrol),Hybrid electric (diesel),Fuel cell electric,Other fuels,Total
England,Annual,2010,Number,Buses and coaches,5,0,0,0,0,0,0,0,5
England,Annual,2011,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Annual,2012,Number,Buses and coaches,16,0,0,0,0,0,0,0,16
England,Annual,2013,Number,Buses and coaches,22,0,0,0,0,0,0,0,22
England,Annual,2014,Number,Buses and coaches,40,0,0,0,0,0,0,0,40
England,Annual,2015,Number,Buses and coaches,19,0,0,0,0,0,0,0,19
England,Annual,2016,Number,Buses and coaches,59,0,0,0,0,0,0,0,59
England,Annual,2017,Number,Buses and coaches,32,0,0,0,0,0,2,0,34
England,Annual,2018,Number,Buses and coaches,88,0,0,0,0,0,0,0,88
England,Annual,2019,Number,Buses and coaches,117,0,0,0,0,0,1,0,118
England,Annual,2020,Number,Buses and coaches,275,0,0,0,0,0,1,0,276
England,Annual,2021,Number,Buses and coaches,346,0,0,0,0,0,38,0,384
England,Annual,2022,Number,Buses and coaches,399,0,0,0,0,0,0,0,399
England,Quarterly,2010 Q1 (January to March),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2010 Q2 (April to June),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2010 Q3 (July to September),Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Quarterly,2010 Q4 (October to December),Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Quarterly,2011 Q1 (January to March),Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Quarterly,2011 Q2 (April to June),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2011 Q3 (July to September),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2011 Q4 (October to December),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2012 Q1 (January to March),Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Quarterly,2012 Q2 (April to June),Number,Buses and coaches,5,0,0,0,0,0,0,0,5
England,Quarterly,2012 Q3 (July to September),Number,Buses and coaches,7,0,0,0,0,0,0,0,7
England,Quarterly,2012 Q4 (October to December),Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Quarterly,2013 Q1 (January to March),Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Quarterly,2013 Q2 (April to June),Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Quarterly,2013 Q3 (July to September),Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Quarterly,2013 Q4 (October to December),Number,Buses and coaches,20,0,0,0,0,0,0,0,20
England,Quarterly,2014 Q1 (January to March),Number,Buses and coaches,11,0,0,0,0,0,0,0,11
England,Quarterly,2014 Q2 (April to June),Number,Buses and coaches,7,0,0,0,0,0,0,0,7
