YEAR,DISMANTELED
2011.059247,20.2803062
2011.207247,20.2803062
2011.355247,20.2803062
2011.503246,20.2803062
2011.651246,20.2803062
2011.799245,20.2803062
2011.947245,20.2803062
2012.095245,20.2803062
2012.243244,20.2803062
2012.391244,20.2803062
2012.539243,20.2803062
2012.687243,20.2803062
2012.835243,20.2803062
2012.983242,20.2803062
2013.131242,20.2803062
2013.279241,20.2803062
2013.427241,20.2803062
2013.57524,20.2803062
2013.72324,76.81068598
2013.87124,109.1137601
2014.019239,109.1137601
2014.167239,109.1137601
2014.315238,109.1137601
2014.463238,109.1137601
2014.611238,173.7199085
2014.759237,197.9472141
2014.907237,197.9472141
2015.055236,197.9472141
2015.21585,-24.13642076
2015.341921,211.6138993
2015.499235,375.6141219
2015.658767,223.3282009
2015.78477,138.7249115
2015.943234,553.2810298
2016.102766,400.9951088
2016.227362,354.7121328
2016.387233,730.9479377
2016.538436,371.3839575
2016.683232,331.197395
2016.831232,411.9550804
2016.979231,537.1294927
2017.127231,625.9629467
2017.27523,839.970813
2017.42323,1102.433291
2017.571229,1328.55481
2017.719229,1582.941519
2017.867229,1829.252459
2018.015228,2055.373978
2018.163228,2338.025877
2018.311227,2636.829313
2018.459227,2984.08736
2018.607227,3323.269639
2018.755226,3662.451918
2018.903226,4005.672081
2019.051225,4348.892243
2019.199225,4873.817199
2019.359782,5841.832654
2019.495224,6105.371901
2019.643224,6698.940888
2019.791223,7304.623529
2019.939223,7930.495591
2020.087223,8540.216116
2020.235222,9404.323349
2020.383222,10728.74939
2020.531221,12073.36485
2020.679221,13401.82878
2020.827221,14794.89885
2020.97522,16143.5522
2021.12322,17544.69804
2021.271219,19280.98827
2021.416015,21149.95185
2021.556967,23243.88326
2021.69856,25058.62382
2021.839512,27152.55524
2021.981105,28963.06563
2022.122057,31061.22721
2022.258355,32907.36004
2022.376863,35067.69063
2022.49558,37014.47868
2022.61667,39072.45369
2022.737761,41100.81756
2022.858851,43163.72777
2022.977568,45121.54742
2023.089952,47128.13838
2023.215075,48789.84652
2023.312764,50861.06863
2023.289396,48878.67997
2023.394907,52908.91351
2023.487673,55045.59185
2023.464304,52876.1854
2023.569698,57021.74658
2023.650425,58961.27699
2023.731152,60900.8074
2023.811879,62825.53224
2023.892606,64755.19227
2023.974081,66842.77843
2023.962121,64779.86823
2024.066393,68959.48223
2024.042848,66734.20421
2024.160949,71269.64555
2024.143757,69132.70747
2024.239126,73313.1053
2024.319061,75575.74563
2024.394248,77801.80747
2024.455453,79830.62421
2024.399392,75173.38234
2024.531415,81869.20393
2024.600249,84056.72773
2024.65695,86106.24242
2024.724543,88060.15539
2024.791816,90091.48037
2024.859088,92140.57204
2024.926361,94242.96378
2024.993633,96339.43329
2025.057702,98320.84233
2025.126777,100485.3646
2025.195451,102605.1529
2025.262163,104402.3647
2025.294117,106407.2247
