vehicle_type,make,model,battery_type,capacity_kwh,body_type
Buses and coaches,BYD,BYD ENVIRO,Lithium Iron Phosphate,324,Bus
Buses and coaches,YUTONG,YUTONG E10,Lithium-ion,258,Bus
Buses and coaches,WRIGHTBUS,WRIGHTBUS STREETDECK,Lithium-ion,288,Bus
Buses and coaches,YUTONG,YUTONG TC12,Lithium-ion,258,Bus
Buses and coaches,YUTONG,YUTONG E12,Lithium-ion,314,Bus
Buses and coaches,WRIGHTBUS,WRIGHTBUS STREETLITE,Lithium-ion,180,Bus
Buses and coaches,CAETANO,CAETANO CITY,Lithium-ion,316,Bus
Buses and coaches,FIAT,FIAT DUCATO,Lithium-ion,48,MPV
Buses and coaches,FORD,FORD TRANSIT,Lithium-ion,70,MPV
Buses and coaches,MERCEDES,MERCEDES SPRINTER,Lithium-ion,35,MPV
Buses and coaches,OPTARE,OPTARE METRODECKER,Lithium Titanate,75,Bus
Buses and coaches,OPTARE,OPTARE SOLO,Lithium-ion,72,Bus
Buses and coaches,OPTARE,OPTARE VERSA,Lithium-ion,72,Bus
Buses and coaches,WRIGHTBUS,WRIGHTBUS ELECTROCITY,Lithium-ion,180,Bus
Buses and coaches,YUTONG,YUTONG TC9,Lithium-ion,230,Bus
Cars,TESLA,TESLA MODEL Y,Lithium-ion,75,SUV
Cars,TESLA,TESLA MODEL 3,Lithium-ion,53,Sedan
Cars,FORD,FORD KUGA,Lithium-ion,14.5,SUV
Cars,NISSAN,NISSAN LEAF,Lithium-ion,43,Hatchback
Cars,BMW,BMW I4,Lithium-ion,80.7,Sedan
Cars,POLESTAR,POLESTAR 2,Lithium-ion,78,Sedan
Cars,VOLKSWAGEN,VOLKSWAGEN ID3,Lithium-ion,46,Hatchback
Cars,AUDI,AUDI Q4,Lithium-ion,53,SUV
Cars,MINI,MINI COOPER,Lithium-ion,28.9,Hatchback
Cars,MG,MG 4,Lithium-ion,44.5,Hatchback
Cars,RENAULT,RENAULT ZOE,Lithium-ion,53,Hatchback
Cars,BMW,BMW IX,Lithium-ion,100,SUV
Cars,VOLKSWAGEN,VOLKSWAGEN ID4,Lithium-ion,54,SUV
Cars,SKODA,SKODA ENYAQ,Lithium-ion,65,SUV
Cars,MG,MG ZS,Lithium-ion,44.5,SUV
Cars,BMW,BMW IX3,Lithium-ion,74,SUV
Cars,CUPRA,CUPRA BORN,Lithium-ion,46,Hatchback
Cars,VAUXHALL,VAUXHALL MOKKA,Lithium-ion,51,SUV
Cars,VOLKSWAGEN,VOLKSWAGEN ID5,Lithium-ion,58,SUV
Cars,PORSCHE,PORSCHE TAYCAN,Lithium-ion,79.2,Sedan
Cars,BMW,BMW 3 SERIES,Lithium-ion,43,Sedan
Cars,AUDI,AUDI E-TRON,Lithium-ion,73,SUV
Cars,KIA,KIA NIRO,Lithium-ion,41,SUV
Cars,HYUNDAI,HYUNDAI IONIQ,Lithium-ion,34,Hatchback
Cars,MG,MG 5,Lithium-ion,61.1,Hatchback
Cars,VOLVO,VOLVO XC40,Lithium-ion,79,SUV
Cars,MERCEDES,MERCEDES EQC CLASS,Lithium-ion,80,SUV
Cars,PEUGEOT,PEUGEOT 2008,Lithium-ion,51,SUV
Cars,HYUNDAI,HYUNDAI KONA,Lithium-ion,39.2,SUV
Cars,VOLKSWAGEN,VOLKSWAGEN GOLF,Lithium-ion,35.8,Hatchback
Cars,MERCEDES,MERCEDES EQA CLASS,Lithium-ion,66.5,SUV
Cars,RENAULT,RENAULT MEGANE,Lithium-ion,60,Hatchback
Cars,BMW,BMW 5 SERIES,Lithium-ion,71,Sedan
Cars,VOLVO,VOLVO C40,Lithium-ion,78,SUV
Cars,VAUXHALL,VAUXHALL CORSA,Lithium-ion,50,Hatchback
Cars,FORD,FORD MUSTANG MACH-E,Lithium-ion,68,SUV
Cars,LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,Lithium-ion,20,SUV
Cars,NISSAN,NISSAN ARIYA,Lithium-ion,63,SUV
